0 degrees,
Max,Min
536,13.9
527,12
526,14
520,16
523,12
527,12
530,16
530,11
531,10
529,9
525,10
,
9 degrees,
Max,Min
487,26
488,24
473,22
486,22
478,30
480,30
478,28
472,25
471,25
477,30
487,22
,
18 degrees,
Max,Min
451,58
447,70
447,72
439,70
440,59
447,62
446,62
451,63
454,60
440,63
450,63
,
27 degrees,
Max,Min
408,116
400,119
405,123
403,119
391,119
401,119
400,127
400,117
399,133
399,121
403,119
,
36 degrees,
Max,Min
342,185
337,185
338,189
339,189
336,190
339,187
333,190
335,186
336,189
337,185
329,192
321,187
,
45 degrees,
Max,Min
287,238
290,240
285,232
290,241
282,239
291,240
290,241
293,232
290,232
288,237
289,238
290,237
,
,
54 degrees,
Max ,Min
386,188
385,185
388,187
383,185
384,185
384,188
382,187
383,183
380,183
384,190
,
63 degrees,
Max,Min
468,111
469,113
472,114
464,111
467,111
465,111
466,112
464,109
465,111
463,111
,
72 degrees,
Max,Min
522,54
518,55
514,60
513,59
510,55
515,57
517,65
512,54
513,54
510,59
510,59
,
81 degrees,
Max,Min
555,17
560,23
553,17
554,15
558,17
550,17
550,16
554,19
558,21
545,17
,
90 degrees,
Max,Min
557,12
555,7
553,9
557,5
556,6
560,15
561,5
568,6
559,9
565,5